# Activity probe — mechanical signals only, NOT verdicts.
# Generated 2026-08-14 by scripts/probe-activity-signals.mjs. Regenerate freely; not in Git.
# A 200 proves the domain answers, not that anyone is home: parked domains and mothballed
# program pages answer 200 forever. site-year is the newest year the homepage mentions, which is a
# better maintenance tell. evidence-date is the newest date a cited source document itself carries
# (Published, never Retrieved). Decide Activity from research; use these to know where to look first.
#
slug	type	tier	http	site-year	evidence-date	website	final-url
baxter-aerospace	venture	D	200	2025		https://www.baxteraerospace.com/	
bbcetc	helper	D	200	2025		https://bbcetc.com/	
bear-lake-regional-commission	resource	D	200	2024		http://www.bearlakeregionalcommission.org/	https://www.bearlakeregionalcommission.org/
bear-lake-valley-chamber-of-commerce	resource	D	200	2026		https://bearlakechamber.com/	
bear-river-association-of-governments	resource	D	200	2026		https://brag.utah.gov/	
best-friends-animal-society	venture	B	200	2026		https://bestfriends.org	https://bestfriends.org/
best-of-state-awards	resource	D	200	2026		https://www.bestofstate.org	https://www.bestofstate.org/
big-chamber-beaver-iron-garfield	resource	D	200	2026		https://www.bigchamber.org/	
bingham-canyon-mine	work	S	200	2026		https://www.kennecott.com/history	https://www.riotinto.com/operations/us/kennecott
bio-utah	resource	D	200	2026		https://bioutah.org/	
bioenergenix	venture	F	200	2026	2014-07-03	https://healthcare.utah.edu/press-releases/2014/07/partnership-spinoff-company-may-soon-lead-clinical-trials-of-metabolic	
biofire-diagnostics	venture	B	200	2023		https://www.biofiredx.com	https://www.biofiredx.com/
biohive-utah	resource	D	200	2026		https://www.biohive.com/	
bioparin	venture	C	no-website				
blackrock-neurotech	venture	A	200	2026		https://www.medicaldesignandoutsourcing.com/utah-array-brain-computer-interface-blackrock-neurotech/	
blue-raven-solar	venture	C	200	2026	2024-08-06	https://www.blueravensolar.com	https://us.sunpower.com/
blundell-geothermal-plant	venture	C	200	2026		https://www.pacificorp.com/	
box-elder-chamber-of-commerce	resource	D	200	2026		https://www.boxelderchamber.com/	
brigham-city-economic-development	resource	D	200			https://www.bcutah.gov/page/economic-development/	
brigham-young-university-byu-rollins-center	resource	D	200			https://marriott.byu.edu/cet/	https://rollins.byu.edu/
browning-firearms-designs	work	S	200	2026		https://www.asme.org/about-asme/engineering-history/landmarks/141-browning-firearms-collection	
bunnell-incorporated	venture	B	200	2026		https://bunl.com	https://bunl.com/
business-resource-center-davis-tech-college	resource	D	200	2026		https://brc.davistech.edu/	
business-resource-center-utah-tech-university	resource	D	200	2026		https://innovation.utahtech.edu/business-resource-center/	
business-technical-assistance-center	resource	D	200	2025		https://seenutah.org/	
byu-pathway	venture	B	CERT_HAS_EXPIRED			https://byupathway.edu	
cache-valley-chamber-of-commerce	resource	D	200	2026		https://cachechamber.com/	
calycia-biosciences	venture	C	200	2026		https://www.calyciabioscience.com	https://www.calyciabioscience.com/
capecchi-gene-targeting	work	S	200	2026		https://www.nobelprize.org/prizes/medicine/2007/press-release/	
carbon-county-chamber-of-commerce	resource	D	200	2026		https://www.carboncountychamber.net/	
carbon-county-economic-development	resource	D	200	2026		https://www.carbon.utah.gov/department/economic-development/	
carterra	venture	C	200	2026		https://carterra-bio.com	https://carterra-bio.com/
carv	venture	C*	200	2026		https://getcarv.com/	
cedar-city-area-chamber-of-commerce	resource	D	200	2026		https://www.cedarcitychamber.org/	
chad-testa	person	C	no-website				
choice-humanitarian	helper	C	200	2026		https://www.choicehumanitarian.org/	https://choicehumanitarian.org/
church-and-state	resource	D	200	2025		https://www.cs1893.com/	
cleanjoule	venture	B	200	2026		https://cleanjoule.com	https://cleanjoule.com/
clearfield-job-corps	resource	D	200	2023		https://clearfield.jobcorps.gov/	
clint-betts	person	D*	no-website				
clozd	venture	C	200	2026		https://www.clozd.com/	
code-adventure-utah	resource	D	200	2026		https://www.codeadventure.net/	
comphealth	venture	C	200		2006-03-27	https://www.comphealth.com/	https://comphealth.com/
conotoxins-and-prialt	work	A	502			https://archive.unews.utah.edu/news_releases/new-painkiller-was-born-in-utah/	
convoi-ventures	resource	D	200	2026		https://www.convoiventures.com/	
coreform	venture	C	200	2026		https://coreform.com	https://coreform.com/
cosm	venture	C	200	2026		https://cosm.com	https://www.cosm.com/
cotopaxi	venture	C	200	2026		https://www.cotopaxi.com	https://www.cotopaxi.com/
coworking-space-in-salt-lake-city-offices-net	resource	F	200	2026		https://offices.net/ut/salt-lake-city/coworking/	
cross-creek	resource	D	200			https://crosscreek.vc/	
crumbl	venture	C	200	2026		https://crumbl.com	https://crumblcookies.com/
cto-breakfast-utah	resource	D*	200	2026		https://ctobreakfast.com/communities/utah/	
culmination-bio	venture	C	200	2026		https://intermountainhealthcare.org/services/genomics/research/collaborative-solutions/culmination/	https://intermountainhealthcare.org/about/research
curza	venture	B	200	2026		https://curza.com	https://www.curza.com/
custom-fit-training	resource	C	200	2026		https://ushe.edu/custom-fit/	
cyclokinetics	venture	D	200	2026		https://cyclokinetics.com/	
cynosure	resource	F	200	2026		https://cynosuregroup.com/	
cyrq-energy	venture	C	200	2026		https://cyrqenergy.com/	
dave-bearss	person	C	no-website				
davis-chamber-of-commerce	resource	D	202			https://davischamberofcommerce.com/	
davis-county-economic-development	resource	D	200			https://www.daviscountyutah.gov/ced	
davis-smith	person	C	no-website				
delta-area-chamber-of-commerce	resource	D	200	2026		https://www.deltautahchamber.com/	
deseret-book-bonneville	venture	B	200	2026		https://deseretbook.com	https://www.deseretbook.com/
digicert	venture	B	200	2026		https://www.digicert.com/	
domo	venture	C	200	2026		https://www.domo.com	https://www.domo.com/
dugway-proving-ground	work	B	200	2026		https://www.army.mil/dugway	
edcutah-economic-development-corporation-of-utah	resource	D	200	2026		https://www.edcutah.org/	
eden-technologies	venture	D	200	2026		https://edentechinc.com	https://www.edentechinc.com/
eide-bailly-utah	helper	D	200	2026		https://www.eidebailly.com/locations/salt-lake-city	
eimco-rocker-shovel-loader	work	B	200	2026		https://www.asme.org/about-asme/engineering-history/landmarks/212-eimco-rocker-shovel-loader-model-12b	
electric-power-systems	venture	B	200	2026		https://epsenergy.com	https://epsenergy.com/
emery-county-economic-development	resource	D	200	2026		https://www.emerycountychamber.com/emery-economic-development.html	
enduracure	venture	D	200	2022		https://enduracure.com	https://www.enduracure.com/
energy-fuels-white-mesa	venture	B	200	2026		https://www.energyfuels.com/	
energy-solutions	venture	B	no-website				
epic-ventures	resource	C	200	2020		https://www.epicvc.com/	
epitel	venture	C	200	2026		https://www.epitel.com/	
escalante-city-innovation-center	resource	F	200			https://www.escalantecity-utah.com/services/escalante-city-innovation-center/	
evans-and-sutherland	work	A	200			https://www.cosm.com/about/cosm-companies	
event-business-forward	resource	D	200	2026		https://forward.utahbusiness.com/	https://www.utahbusiness.com/forward/
event-grand-summit-moab	resource	D	200	2020		https://www.grandsummitmoab.com/	
event-mountain-west-capital-network	resource	D	200	2026		https://www.mwcn.org/	
event-one-utah-summit	resource	D	200	2026		https://oneutahsummit.utah.gov/	
event-raising-kane-business-summit	resource	D	200	2026		https://www.raisingkanesummit.com/	
event-silicon-slopes-tech-summit	resource	D	200			https://www.siliconslopes.com/summit	
event-utah-tech-week	resource	D	200	2026		https://www.utahtechweek.com/	
event-what-s-up-down-south-economic-summit	resource	D	202			https://whatsupdownsouth.org/	
evolution-bio	venture	C	no-website				
familysearch	venture	B	200			https://www.familysearch.org	https://www.familysearch.org/en/united-states/
federal-economic-development-administration	resource	D	403			https://www.eda.gov/	
fervo-energy	venture	A	202			https://fervoenergy.com	https://fervoenergy.com/
first-step-entrepreneur	resource	F	200	2025		https://startup.utah.gov/resources/	
five-county-association-of-governments	resource	D	200	2026		http://www.fivecounty.utah.gov/	https://www.fivecounty.utah.gov/
flaming-gorge-chamber-of-commerce	resource	D	200	2026		https://www.flaminggorgecountry.com/Chamber-of-Commerce/	
florian-solzbacher	person	B	no-website				
flys-eye-hires-cosmic-rays	work	A	200	2026		https://science.utah.edu/faculty/why-scientists-havent-solved-the-mystery-of-the-oh-my-god-particle/;	https://science.utah.edu/faculty/why-scientists-havent-solved-the-mystery-of-the-oh-my-god-particle/
forge-utah	resource	D*	200	2015		https://forgeutah.tech	https://forgeutah.tech/
fortem-technologies	venture	C	200	2026		https://fortemtech.com/	
fourth-street-clinic	resource	D	200	2026		https://fourthstreetclinic.org/	
fred-lampropoulos	person	C	no-website				
fstep-idea-explorer	resource	F	200	2025		https://startup.utah.gov/resources/	
furnace-outbound	venture	D	200	2026		https://www.getfurnace.io/	
futureready-utah	resource	D	200	2020		http://futurereadyutah.org	https://www.futurereadyutah.org/
get-started-business-idea-challenge	resource	F	200			https://startup.utah.gov/business-resource/get-started-business-idea-challenge/	
globus-relief	venture	C	200	2026		https://www.globusrelief.org	https://globusrelief.org/
golden-spike-transcontinental-railroad	work	S	200	2026		https://www.nps.gov/gosp/index.htm	
goldman-sachs-1000-small-businesses	resource	C	200	2026		https://10ksbapply.com/	
grand-county-economic-development	resource	D	200	2012		https://www.co.grand.co.us/1056/Economic-Development	
great-salt-lake	venture	A	200	2024		https://ffsl.utah.gov/public-lands/great-salt-lake/	https://ffsl.utah.gov/state-lands/sovereign-lands/great-salt-lake/
greater-nephi-chamber-of-commerce	resource	D	200	2026		https://www.nephichamber.org/	
grix	resource	D	200	2026		https://www.grix.vc/	
grow-utah	resource	C	200	2026		https://www.growutah.com/	https://growutah.com/
h-tracy-hall-diamond-presses	work	A	200	2026		https://www.invent.org/inductees/h-tracy-hall	
halda	venture	C	200	2026		https://www.halda.ai/	
halia-therapeutics	venture	B	200	2026		https://haliatx.com	https://haliatx.com/
harvey-fletcher-stereophonic-sound	work	S	200	2026		https://news.byu.edu/news/byus-first-physics-grad-earns-posthumous-grammy-award	
health-catalyst	venture	C	no-website				
heber-city-community-alliance-for-main-street	resource	D	200	2026		https://hebercity-cams.org/	
heber-valley-chamber-of-commerce	resource	D	200	2026		https://www.gohebervalley.com/chamber/	https://www.gohebervalley.com/Chamber/
heber-valley-economic-development	resource	D	200	2026		https://www.gohebervalley.com/Economic-Development/	https://www.gohebervalley.com/economic-development/
help-clinical-decision-support-system	work	A	200	2026		https://pmc.ncbi.nlm.nih.gov/articles/PMC2203749/;	
helpside	venture	D	202			https://www.helpside.com/	
hexcel	venture	B	200	2026		https://www.hexcel.com/	
high-density-sustainable-aviation-fuels	work	C	200	2026		https://cleanjoule.com	https://cleanjoule.com/
hill-air-force-base	venture	A	403			https://www.hill.af.mil/	
hope-squad	venture	C	200	2026		https://hopesquad.com	https://www.hopesquad.com/
huntsman-cancer-institute	venture	B	200	2026		https://healthcare.utah.edu/huntsmancancerinstitute	https://healthcare.utah.edu/huntsmancancerinstitute/
huntsman-world-senior-games	venture	D	200	2026		https://seniorgames.net	https://seniorgames.net/
hurricane-valley-chamber-of-commerce	resource	D	200	2026		https://hvchamber.com/	
hypercraft	venture	C	200	2024		https://www.hypercraft.com/	
ihub	resource	C	200			https://www.ihubutah.org/	https://ihubutah.org/
imagine-learning	venture	C	200	2026		https://www.imaginelearning.com	https://www.imaginelearning.com/
impact-utah	resource	F	200	2026		https://www.47g.org/47g-impact-center	
imsar	venture	C	200	2026		https://www.imsar.com/	
indie-square	resource	D	200	2024		https://www.indiesquare.org/	https://indiesquare.org/
inherent-biosciences	venture	C	200	2020		https://www.inherentbio.com	https://www.inherentbio.com/
innosys	venture	C	200	2025		https://www.innosystech.com	https://www.innosystech.com/
instructure	venture	B	200	2026		https://www.instructure.com	https://www.instructure.com/
intactis-bio	venture	C*	200	2026		https://www.intactis.bio/	
intan-technologies	venture	B	200	2026		https://intantech.com/	
intergalactic	venture	C	200	2026		https://ig.space/	
intermountain-clinical-quality-improvement	work	A	200	2026		https://en.wikipedia.org/wiki/Intermountain_Health	
international-trade-and-diplomacy	resource	D	200	2026		https://business.utah.gov/international/	
interval-ai	venture	D	200	2026		https://interval-ai.com	https://interval-ai.com/
iomega-zip-drive	work	C*	200	2020		https://www.sec.gov/Archives/edgar/data/352789/0000352789-95-000002-index.htm	
ionic-mt	venture	C	200	2026		https://ionicmt.com	https://ionicmt.com/
iris-biomedical	venture	C	200	2023		https://irismeddesign.com/	
iron-county-economic-development	resource	D	200	2026		https://www.cedarcityut.gov/2357/Economic-Development	
ivumed	resource	C	200	2023		https://www.ivumed.org/	
jared-rutter	person	B	no-website				
jarvik-7-artificial-heart	work	S	200			https://medicine.utah.edu/sites/g/files/zrelqx356/files/migration/media/first-artificial-heart-anderson.pdf	
jobnimbus	venture	C	200	2026		https://www.jobnimbus.com/	
josh-james	person	C	no-website				
juab-county-economic-development	resource	D	200	2026		https://juabcounty.gov/	
jump-aero	venture	D	200	2026		https://jumpaero.com	https://jumpaero.com/
justbuild	resource	D	200	2024		https://justbuild.ing/	
karl-sun	person	C	no-website				
kem-c-gardner-policy-institute	resource	D	200	2026		https://gardner.utah.edu/	
keva-locks	venture	D	200	2025		https://www.kevalocks.com/	
kickstart-fund	resource	C	200	2026		https://www.kickstartfund.com/	https://kickstart.com/
kiln	resource	D	200	2026		https://kiln.com	https://kiln.com/
kinect-capital	resource	D	200	2026		https://kinectcapital.org/	
kirton-mcconkie	helper	D	200	2026		https://www.kirtonmcconkie.com/	
l3harris-salt-lake	venture	B	no-website				
leland	venture	D	200	2026		https://www.joinleland.com	https://www.joinleland.com/
les-olson-it	venture	D	200	2026		https://lesolson.com/	
lialaunch	resource	D	200	2024		https://www.lialaunch.com/	
liveview-technologies	venture	C	200	2026		https://www.lvt.com	https://www.lvt.com/
logan-city-economic-development	resource	D	200	2023		https://www.loganutah.gov/government/mayor_s_office/economic_development/index.php	
lucid-software	venture	C	200	2023		https://lucid.co/	
make-salt-lake	resource	D	200			http://makesaltlake.org	https://makesaltlake.org/
make-utah	resource	D	200	2025		https://makeutah.org/	
maschoff-brennan	helper	D	200	2026		https://mabr.com/	
mastercontrol	venture	C	200	2026		https://www.mastercontrol.com	https://www.mastercontrol.com/
maven-create	resource	D	200	2026		https://mavencreateslc.com/	
mercato-partners	resource	C	200	2026		https://www.mercatopartners.com/	
merit-medical	venture	B	200	2026		https://www.merit.com	https://www.merit.com/
military-installation-development-authority	resource	D	200	2026		https://www.midaut.org/	
moab-chamber-of-commerce	resource	D	200	2026		https://moabchamber.com/	
monarch	resource	D	200	2026		https://themonarchogden.com/	https://www.themonarchogden.com/
monticello-coworking-space	resource	D	200	2026		https://members.monticellocoworking.com/	
morgan-chamber-of-commerce	resource	F	200	2026		https://www.morganutahchamber.org/	
morgan-county-economic-development	resource	D	200	2026		https://www.morgancountyinfo.com/	
mountain-heights-academy	resource	C	200	2026	2010-09-07	https://mountainheightsacademy.org	https://mountainheightsacademy.org/
mountain-land-association-of-governments-revolving-loan-fund-rlf	resource	D	200	2026		https://www.gohebervalley.com/Revolving-loan/	
mountainland-association-of-governments	resource	D	200	2026		https://mountainland.org/	https://magutah.gov/
moxie-solid-oxide-electrolysis-stack	work	B	200	2026		https://www.nasa.gov/missions/mars-2020-perseverance/perseverance-rover/nasas-oxygen-generating-experiment-moxie-completes-mars-mission	https://www.nasa.gov/missions/mars-2020-perseverance/perseverance-rover/nasas-oxygen-generating-experiment-moxie-completes-mars-mission/
music-ai	venture	C	200	2026		https://music.ai	https://music.ai/
mx-technologies	venture	C	no-website				
myriad-genetics	venture	B	200	2026		https://www.myriad.com/	https://myriad.com/
myriad-genetics-brca	work	S	403			https://supreme.justia.com/cases/federal/us/569/576/	
neighbor	venture	C	403			https://www.neighbor.com/	
nephronovus	venture	F	200	2026		https://altitudelab.org/portfolio	
neumont-college-of-computer-science	venture	D	200	2026		https://www.neumont.edu/	
nielson-scientific	venture	C	200	2026		https://nielsonscientific.com	https://nielsonscientific.com/
northern-utah-dotnet-users-group	resource	D	200	2026		https://nunug.org/	
northern-utah-economic-alliance	resource	D	200	2026		https://nuea.org/	
northrop-grumman-promontory	venture	S	200	2026		https://www.northropgrumman.com/what-we-do/space/missions/artemis/program	
now-cfo	helper	D	200	2026		https://nowcfo.com/	
nsa-utah-data-center	venture	A	200	2026		https://en.wikipedia.org/wiki/Utah_Data_Center	
nu-skin	venture	B	200		2026-02-13	https://www.nuskin.com/	https://www.nuskin.com/nuskin.html
nucleus-fund	resource	D	200	2022		https://www.nucleusfundutah.com/	
nucleus-grow	resource	C	200	2026		https://www.nucleusutah.org/grow	
nucleus-institute	helper	D	200	2026		https://www.nucleusutah.org/	
nucleus-marketedge	resource	D	200	2026		https://www.nucleusutah.org/marketedge	
nusano	venture	A	200	2026		https://nusano.com	https://nusano.com/
oc-tanner	venture	C	no-website				
ogden-weber-chamber-of-commerce	resource	D	200	2026		https://www.ogdenweberchamber.com/	
omniture-web-analytics	work	C	200	2010		https://www.sec.gov/Archives/edgar/data/1357525/000110465909054626/a09-26505_1sc14d9c.htm	
orbit-irrigation-products	venture	C	200	2026		https://www.orbitonline.com	https://www.orbitonline.com/
orem-library-makerspace	resource	D	403			https://library.orem.gov/makerspace	
ormat-technologies	venture	C	200			https://ormat.com	https://ormat.com/
overstock-com	venture	C	200	2014		https://www.bedbathandbeyond.com	https://www.bedbathandbeyond.com/
owlet-baby-care	venture	C	200	2026		https://owletcare.com/	
oxeon-energy	venture	B	200	2026		https://oxeonenergy.com	https://www.oxeonenergy.com/
pacific-island-chamber-of-commerce-picc	resource	D	200	2026		https://www.pik2ar.org/picc	
palladyne-ai	venture	C	200	2026		https://www.palladyneai.com	https://www.palladyneai.com/
park-city-angels	resource	D	200	2026		https://www.parkcityangels.com/	
park-city-chamber-of-commerce	resource	D	200	2022		https://www.parkcitychamber.com/	
parsons-behle-latimer	helper	D	200	2026		https://parsonsbehle.com/	
passivelogic	venture	B	200	2026		https://passivelogic.com/	https://www.passivelogic.com/
pelion-ventures	resource	C	200	2026		https://pelionvp.com/	
peterson-ventures	resource	C	200	2026		https://www.petersonventures.com/	
philo-farnsworth-television	work	S	200	2025		https://www.census.gov/about/history/stories/monthly/2023/september-2023.html	
photopharmics	venture	B	200	2026		https://photopharmics.com	https://photopharmics.com/
pitted-ventures	resource	F	ERR_TLS_CERT_ALTNAME_INVALID			https://pittedventures.com/	
pluralsight	venture	C	200	2026		https://www.pluralsight.com	https://www.pluralsight.com/
podium	venture	C	200	2026		https://www.podium.com	https://www.podium.com/
pons-fleischmann-cold-fusion	work	A*	403			https://www.axios.com/local/salt-lake-city/2024/03/18/cold-fusion-1989-university-utah-pons-fleischmann	
portal-warehousing	resource	D	200	2026		https://www.join-portal.com/location/salt-lake-city	
preferred-cfo	helper	D	200	2026		https://preferredcfo.com/	
primary-childrens-hospital	resource	C	200	2026		https://prod.intermountainhealth.org/locations/primary-childrens-salt-lake-city/about	
qualtrics	venture	B	200	2026		https://www.qualtrics.com/	
r6-regional-council	resource	D	200	2026		https://r6.utah.gov/	
ram-aviation-space-defense	venture	C	200	2026		https://ramasd.com	https://ram.space/
rebel-medicine	venture	C	200	2026		https://www.rebelmedicine.com/	
recursion-pharmaceuticals	venture	A	200	2026		https://www.recursion.com/mission	
red-rock-angels	resource	D	200	2020		https://redrockangels.com/	https://www.redrockangels.com/
renaissance-ag	venture	D	200	2026		https://www.linkedin.com/company/renaissance-ag	
renewable-tech-ventures	resource	D	200	2026		https://www.renewablevc.com/	
revolving-loan-fund-program-rlf-r6	resource	F	200	2026		https://r6.utah.gov/	
revolving-loan-fund-program-rlf-south-eastern-utah	resource	F	200			https://serda.utah.gov/	
revroad	resource	D	200	2026		https://www.revroad.com/	
richfield-chamber-of-commerce	resource	D	200			https://richfieldareachamber.com/	
ripple-neuro	venture	C	200	2026		https://rippleneuro.com	https://rippleneuro.com/
rodatherm-energy	venture	B	200	2026		https://rodatherm.com	https://rodatherm.com/
rotor	venture	D	200	2026		https://www.getrotor.com/	
rqm-plus	helper	D	200	2026		https://www.rqmplus.com/	
rural-utah-chamber-coalition	resource	D	200	2026		https://www.ruralutahcc.org/	
ryan-smith-imsar	person	D	no-website				
ryan-smith-qualtrics	person	C	no-website				
safeut	resource	B	200	2026		https://safeut.org	https://safeut.org/
salesrabbit	venture	C	200	2026		https://salesrabbit.com/	
salina-chamber	resource	F	200	2026		https://www.salina.utah.gov/	
salt-lake-angels	resource	D	200	2024		https://slcangels.org/	
salt-lake-chamber	resource	D	200	2026		https://slchamber.com/	
salt-lake-city-office-space-for-rent	resource	F	200	2026		https://offices.co/usa/salt-lake-city/	
salt-lake-community-college-slcc-the-mill	resource	D	200	2026		https://themillatslcc.com/	
salt-mine	resource	D	200	2025		https://meetatsaltmine.com/	
san-juan-county-chamber-of-commerce	resource	D	200	2026		https://sanjuancountychamber.com/	https://www.sanjuancountychamber.com/
san-juan-county-economic-development	resource	D	200	2026		https://www.sjcutaheconomicdevelopment.com/	
sandbox	venture	D	200	2026		https://web.sandbox.ing	https://web.sandbox.ing/
sanpete-chamber-of-commerce	resource	D	200	2026		https://sanpetechamberofcommerce.org/	https://www.sanpetechamber.org/
sarcos-technology-and-robotics	venture	C	200	2026		https://palladyneai.com/	https://www.palladyneai.com/
savory-fund	resource	D	200	2026		https://savoryfund.com/	
sba-thrive	resource	C	200	2026		https://www.sba.gov/sba-learning-platform/thrive-emerging-leaders-reimagined	https://www.sba.gov/counseling/
sba-utah-district-office	resource	D	200	2026		https://www.sba.gov/	
schoolai	venture	C	200	2026		https://schoolai.com	https://schoolai.com/
sci-institute	venture	B	200	2026		https://www.sci.utah.edu	https://sci.utah.edu/
score-utah	resource	D	403			https://www.score.org/ut/	
sethera-therapeutics	venture	D	200	2026		https://setheratx.com	https://setheratx.com/
sevier-county-economic-development	resource	D	200	2024		https://scedc.com/	
signal-peak-ventures	resource	C	200	2026		https://www.spv.com/	https://run.vc/
silicon-slopes	resource	D	403			https://www.siliconslopes.com/	
sistema-utah	resource	D	200	2013		https://www.sistemautah.org	https://www.sistemautah.org/
six-county-association-of-governments	resource	D	200	2026		https://r6.utah.gov/	
skullcandy	venture	C	200	2026		https://www.skullcandy.com	https://www.skullcandy.com/
sky-quarry	venture	C	200	2026		https://skyquarry.com	https://skyquarry.com/
skywest-inc	venture	B	UNABLE_TO_GET_ISSUER_CERT_LOCALLY			https://inc.skywest.com/	
snow-college-grit-center	resource	D	200	2026		https://www.snow.edu/offices/grit-center/index.html	https://snow.edu/offices/grit-center/index.html
sorenson-impact-fund	resource	D	202			https://sorensonimpactfoundation.org/	
soundstream-digital-audio-recording	work	A	200	2024		https://www.arpjournal.com/asarpwp/soundstream-the-introduction-of-commercial-digital-recording-in-the-united-states	https://www.arpjournal.com/asarpwp/soundstream-the-introduction-of-commercial-digital-recording-in-the-united-states/
soutah-economic-alliance	resource	D	200	2026		https://soutah.org/	https://www.soutah.org/
southeastern-association-of-local-governments	resource	D	200			https://serda.utah.gov/	
southeastern-utah-association-of-local-governments-economic-development	resource	F	200	2026		https://serda.utah.gov/community-development	
southern-utah-code-camp	resource	D*	200	2026		https://southernutahcodecamp.com/	
southern-utah-university-cedar-city-business-and-innovation-center	resource	D	200			https://www.suu.edu/regional/bic/	
southern-utah-university-suu-larry-h-and-gail-miller-center-for-entrepreneurship	resource	D	200			https://www.suu.edu/business/entrepreneurship/	
space-dynamics-laboratory	venture	B	200	2026		https://www.sdl.usu.edu	https://www.sdl.usu.edu/
spectrum-solutions	venture	C	no-website				
spiral-jetty	work	B*	200	2026		https://diaart.org/collection/collection/smithson-robert-spiral-jetty-1970-1999-014/	
spire-therapeutic	venture	B	200	2026		https://spire.us/	
splunk	venture	B	200	2026	2024-03-18	https://www.splunk.com/	
st-george-area-chamber-of-commerce	resource	D	200	2026		https://stgeorgechamber.com/	
st-george-city-economic-development	resource	D	200	2026		https://sgcityutah.gov/departments/economic_development/index.php	
st-george-downtown-farmers-market	resource	D	200	2026		https://downtownfarmerstg.com/	
startup-ignition-ventures	resource	C	200	2026		https://startupignition.com/ventures	https://www.startupignition.com/ventures
startup-ogden	resource	D	200	2026		https://startupogden.spaces.nexudus.com/home?&v=latest	
startup-state-resource-list	resource	F	200	2023		https://startup.utah.gov/	
stopfakes-gov	resource	F	200	2024		https://www.stopfakes.gov/welcome	
stratos-data-center	work	B	no-website				
strider-technologies	venture	C	200	2026		https://www.striderintel.com/	
strive	resource	D	200	2026		https://utahvbrc.org/strive	https://utahvbrc.org/strive-program/
struvia	venture	F	200	2026		https://struvia.co/	
suazo-business-center	resource	C	202			https://suazocenter.org/	
subcontractorhub	venture	D	200			https://www.subcontractorhub.com/	
summit-county-economic-development	resource	D	200	2026		https://www.summitcountyutah.gov/609/Economic-Development	https://www.summitcountyutah.gov/609/Economic-Development-Housing
sundance-institute	venture	A	200	2026		https://www.sundance.org	https://www.sundance.org/
sword-health	venture	C	200	2026		https://www.sword.com/	
symbiocelltech	venture	B	200	2024		https://symbiocelltech.com/	
talent-ready-utah	resource	C	200	2023		https://talentready.ushe.edu/	
tandem-ventures	resource	C	200	2026		https://tandeminvest.com/	
tanner-llc	helper	D	403			https://tannerco.com/	
